,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
MS Dhoni,BATTERS,"2008,2009,2010",True,Right hand Bat,Right arm Medium,CSK
Srikkanth Anirudha,BATTERS,2008,False,Right hand Bat,,CSK
Arun Karthik,BATTERS,"2008,2009,2010",True,Right hand Bat,Legbreak Googly,CSK
S Badrinath,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,CSK
Stephen Fleming,BATTERS,2008,False,Left hand Bat,,CSK
Matthew Hayden,BATTERS,"2008,2009,2010",False,Left hand Bat,Right arm Medium,CSK
Michael Hussey,BATTERS,"2008,2010",False,Left hand Bat,Right arm Medium,CSK
Chamara Kapugedera,BATTERS,2008,False,Right hand Bat,Right arm Medium,CSK
Abhinav Mukund,BATTERS,2008,False,Left hand Bat,Legbreak Googly,CSK
Parthiv Patel,BATTERS,"2008,2009,2010",True,Left hand Bat,Right arm Offbreak,CSK
Suresh Raina,BATTERS,"2008,2009,2010",False,Left hand Bat,Right arm Offbreak,CSK
Ravichandran Ashwin,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,CSK
Joginder Sharma,ALLROUNDERS,"2008,2009",False,Right hand Bat,Right arm Fast medium,CSK
Albie Morkel,ALLROUNDERS,"2008,2009,2010",False,Left hand Bat,Right arm Medium fast,CSK
Lakshmipathy Balaji,BOWLERS,2008,False,Right hand Bat,Right arm Medium fast,CSK
Manpreet Gony,BOWLERS,"2008,2009,2010",False,Right hand Bat,Right arm Medium,CSK
Shadab Jakati,BOWLERS,"2008,2009,2010",False,Left hand Bat,Slow Left arm Orthodox,CSK
Muthiah Muralidaran,BOWLERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,CSK
Makhaya Ntini,BOWLERS,"2008,2009,2010",False,Right hand Bat,Right arm Fast,CSK
Palani Amarnath,BOWLERS,"2008,2009",False,Right hand Bat,Right arm Medium,CSK
Napoleon Einstein,BOWLERS,2008,False,Right hand Bat,Right arm Offbreak,CSK
Viraj Kadbe,BOWLERS,"2008,2009",False,Right hand Bat,Legbreak,CSK
Suresh Kumar,BOWLERS,2008,False,Right hand Bat,Right arm Offbreak,CSK
Virender Sehwag,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,DC
AB de Villiers,BATTERS,"2008,2009,2010",True,Right hand Bat,Right arm Medium,DC
Shikhar Dhawan,BATTERS,"2008,2009,2010",False,Left hand Bat,Right arm Offbreak,DC
Gautam Gambhir,BATTERS,"2008,2009,2010",False,Left hand Bat,Legbreak,DC
Dinesh Karthik,BATTERS,"2008,2009,2010",True,Right hand Bat,Right arm Offbreak,DC
Tejashwi Yadav,BATTERS,"2008,2009",False,Right hand Bat,Right arm Bowler,DC
Rajat Bhatia,ALLROUNDERS,"2008,2010",False,Right hand Bat,Right arm Medium fast,DC
Tillakaratne Dilshan,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,DC
Farveez Maharoof,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Right arm Fast medium,DC
Yo Mahesh,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Right arm Medium fast,DC
Mithun Manhas,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,DC
Yogesh Nagar,ALLROUNDERS,"2008,2009",False,Right hand Bat,Right arm Offbreak,DC
Shoaib Malik,ALLROUNDERS,2008,False,Right hand Bat,Right arm Offbreak,DC
Mayank Tehlan,ALLROUNDERS,2008,False,Right hand Bat,Right arm Offbreak,DC
Brett Geeves,ALLROUNDERS,2008,False,,,DC
Bowler,ALLROUNDERS,"2008,2009,2009,2009,2010",False,Right hand Bat,Right arm Medium fast,DC
Glenn McGrath,ALLROUNDERS,"2008,2009",False,Right hand Bat,Right arm Fast medium,DC
Amit Mishra,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Legbreak,DC
Mohammad Asif,ALLROUNDERS,2008,False,Left hand Bat,Right arm Fast medium,DC
Pradeep Sangwan,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,Left arm Medium,DC
VVS Laxman,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,DCG
Herschelle Gibbs,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Bowler,DCG
Adam Gilchrist,BATTERS,"2008,2009,2010",True,Left hand Bat,Right arm Offbreak,DCG
Dwaraka Ravi Teja,BATTERS,"2008,2009,2010",False,Right hand Bat,Legbreak Googly,DCG
Rohit Sharma,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,DCG
Chamara Silva,BATTERS,"2008,2009",False,Right hand Bat,Legbreak,DCG
Venugopal Rao,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,DCG
Arjun Yadav,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,DCG
Shahid Afridi,ALLROUNDERS,2008,False,Right hand Bat,Legbreak Googly,DCG
Scott Styris,ALLROUNDERS,"2008,2009",False,Right hand Bat,Right arm Medium,DCG
Andrew Symonds,ALLROUNDERS,"2008,2009,2010",False,Right hand Bat,"Right arm Medium, Right arm Offbreak",DCG
Pragyan Ojha,BOWLERS,"2008,2009,2010",False,Left hand Bat,Slow Left arm Orthodox,DCG
RP Singh,BOWLERS,"2008,2009,2010",False,Right hand Bat,Left arm Fast medium,DCG
Chaminda Vaas,BOWLERS,"2008,2009,2010",False,Left hand Bat,Left arm Fast medium,DCG
Nuwan Zoysa,BOWLERS,"2008,2009",False,Left hand Bat,Left arm Fast medium,DCG
Sanjay Bangar,BOWLERS,2008,False,Right hand Bat,Right arm Medium fast,DCG
Halhadar Das,BOWLERS,"2008,2009",False,Right hand Bat,,DCG
Doddapaneni Kalyankrishna,BOWLERS,"2008,2009",False,Right hand Bat,Right arm Medium fast,DCG
PM Sarvesh Kumar,BOWLERS,"2008,2009",False,Right hand Bat,Right arm Medium,DCG
Paidikalva Vijaykumar,BOWLERS,"2008,2009",False,Right hand Bat,Right arm Medium,DCG
Sourav Ganguly,BATTERS,"2008,2009,2010",False,Left hand Bat,Right arm Medium,KKR
Aakash Chopra,BATTERS,2008,False,Right hand Bat,"Right arm Medium, Right arm Offbreak",KKR
Debabrata Das,BATTERS,2008,False,Right hand Bat,Legbreak Googly,KKR
Brad Hodge,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Offbreak,KKR
Brendon McCullum,BATTERS,"2008,2009,2010",True,Right hand Bat,"Right arm Medium, Right arm Offbreak",KKR
Ricky Ponting,BATTERS,2008,False,Right hand Bat,Right arm Medium,KKR
Wriddhiman Saha,BATTERS,"2008,2009,2010",True,Right hand Bat,,KKR
Salman Butt,BATTERS,2008,False,Left hand Bat,Right arm Offbreak,KKR
Tatenda Taibu,BATTERS,2008,True,Right hand Bat,Right arm Medium,KKR
CH Gayle headshot,BATTERS,2008,False,Left hand Bat,Right arm Offbreak,KKR
David Hussey,BATTERS,"2008,2009",False,Right hand Bat,Right arm Offbreak,KKR
Iqbal Abdulla,BATTERS,"2008,2010",False,Left hand Bat,Slow Left arm Orthodox,KKR
Mohammad Hafeez,BATTERS,2008,False,Right hand Bat,Right arm Offbreak,KKR
Laxmi Shukla,BATTERS,"2008,2009,2010",False,Right hand Bat,Right arm Medium,KKR
Ajit Agarkar,BOWLERS,"2008,2009,2010",False,Right hand Bat,Right arm Fast,KKR
Ashok Dinda,BOWLERS,"2008,2009,2010",False,Right hand Bat,Right arm Medium fast,KKR
Murali Kartik,BOWLERS,"2008,2009,2010",False,Left hand Bat,Slow Left arm Orthodox,KKR
